player,ranking
Abraham Ancer,30
Keegan Bradley,22
Sam Burns,15
Patrick Cantlay,4
Cameron Champ,189
Corey Conners,41
Fred Couples,Unranked
Bryson DeChambeau,143
Tony Finau,12
Matt Fitzpatrick,13
Tommy Fleetwood,26
Ryan Fox,34
Sergio Garcia,149
Talor Gooch,50
Brian Harman,28
Tyrrell Hatton,16
Russell Henley,36
Kazuki Higa,81
Tom Hoge,25
Max Homa,6
Billy Horschel,24
Viktor Hovland,9
Mackenzie Hughes,60
Sungjae Im,18
Dustin Johnson,65
Zach Johnson,Unranked
Si Woo Kim,39
Tom Kim,19
Chris Kirk,33
Kevin Kisner,48
Kurt Kitayama,21
Brooks Koepka,106
Jason Kokrak,80
Bernhard Langer,Unranked
Kyoung-Hoon Lee,Unranked
Shane Lowry,23
Sandy Lyle,Unranked
Hideki Matsuyama,20
Rory McIlroy,3
Adrian Meronk,55
Phil Mickelson,Unranked
Larry Mize,Unranked
Francesco Molinari,123
Taylor Moore,49
Collin Morikawa,11
Kevin Na,88
Joaquin Niemann,27
Alex Noren,44
Jose Maria Olazabal,Unranked
Louis Oosthuizen,104
Mito Pereira,53
Thomas Pieters,42
J.T. Poston,52
Seamus Power,35
Jon Rahm,2
Patrick Reed,66
Justin Rose,31
Xander Schauffele,7
Scottie Scheffler,1
Charl Schwartzel,Unranked
Adam Scott,38
Vijay Singh,Unranked
Cameron Smith,5
Jordan Spieth,14
Scott Stallings,62
Sepp Straka,32
Adam Svensson,54
Sahith Theegala,29
Justin Thomas,10
Harold Varner III,51
Bubba Watson,Unranked
Mike Weir,Unranked
Danny Willett,92
Aaron Wise,46
Gary Woodland,99
Tiger Woods,Unranked
Cameron Young,17
Will Zalatoris,8
Sam Bennett,Amateur
Ben Carr,Amateur
Harrison Crowe,Amateur
Mateo Fernandez de Oliveira,Amateur
Matthew McClean,Amateur
Aldrich Potgieter,Amateur
Gordon Sargent,Amateur
